state_fip,state_abbr,state_name,population,region
1,AL,Alabama,4779736,3
2,AK,Alaska,710231,4
4,AZ,Arizona,6392017,4
5,AR,Arkansas,2915918,3
6,CA,California,37253956,4
8,CO,Colorado,5029196,4
9,CT,Connecticut,3574097,1
10,DE,Delaware,897934,3
12,FL,Florida,18801310,3
13,GA,Georgia,9687653,3
15,HI,Hawaii,1360301,4
16,ID,Idaho,1567582,4
17,IL,Illinois,12830632,2
18,IN,Indiana,6483802,2
19,IA,Iowa,3046355,2
20,KS,Kansas,2853118,2
21,KY,Kentucky,4339367,3
22,LA,Louisiana,4533372,3
23,ME,Maine,1328361,1
24,MD,Maryland,5773552,3
25,MA,Massachusetts,6547629,1
26,MI,Michigan,9883640,2
27,MN,Minnesota,5303925,2
28,MS,Mississippi,2967297,3
29,MO,Missouri,5988927,2
30,MT,Montana,989415,4
31,NE,Nebraska,1826341,2
32,NV,Nevada,2700551,4
33,NH,New Hampshire,1316470,1
34,NJ,New Jersey,8791894,1
35,NM,New Mexico,2059179,4
36,NY,New York,19378102,1
37,NC,North Carolina,9535483,3
38,ND,North Dakota,672591,2
39,OH,Ohio,11536504,2
40,OK,Oklahoma,3751351,3
41,OR,Oregon,3831074,4
42,PA,Pennsylvania,12702379,1
44,RI,Rhode Island,1052567,1
45,SC,South Carolina,4625364,3
46,SD,South Dakota,814180,2
47,TN,Tennessee,6346105,3
48,TX,Texas,25145561,3
49,UT,Utah,2763885,4
50,VT,Vermont,625741,1
51,VA,Virginia,8001024,3
53,WA,Washington,6724540,4
54,WV,West Virginia,1852994,3
55,WI,Wisconsin,5686986,2
56,WY,Wyoming,563626,4
